year,description ,state,area burned ha,area burned acres,fatalities,homes destroyed,other buildings destroyed,cattle_sheep,cattle_general,approx_value_loss,est_value_lives,est_value_home,est_value_public_buildings,est_value_sheep,est_value_livestock,other damanged
2015,Perth Hills bushfire complex – Solus Group,Western Australia,10016.00,24750.00,0.00,0.00,0.00,,,,,,,,,Jarrah production forest and Conservation Park
2015,2015 Pinery bushfire,South Australia,85000.00,210000.00,2.00,91.00,0.00,,,,,,,,,
2016,2016 Murray Road bushfire (Waroona and Harvey),Western Australia,69165.00,170910.00,2.00,181.00,,,,,,,,,,"Thousands of hectares of Lane Poole Reserve, Production forest (jarrah), Yarloop Workshops"
2017,2017 New South Wales bushfires,New South Wales,52000.00,130000.00,0.00,35.00,0.00,,,,,,,,,
2019,Tingha bushfire,New South Wales,23419.00,57870.00,0.00,19.00,57.00,,,,,,,,,"Livestocks, Vineyards"
2020,2019–20 Australian bushfire season (Black Summer),Northern Territory,6800000.00,16800000.00,0.00,5.00,,,,,,,,,,
2020,2019–20 Australian bushfire season (Black Summer),New South Wales,5500000.00,13600000.00,26.00,2448.00,,,,,,,,,,
2020,2019–20 Australian bushfire season (Black Summer),Queensland,2500000.00,6180000.00,0.00,48.00,,,,,,,,,,
2020,2019–20 Australian bushfire season (Black Summer),Western Australia,2200000.00,5440000.00,0.00,1.00,,,,,,,,,,
2020,2019–20 Australian bushfire season (Black Summer),Victoria,1500000.00,3710000.00,5.00,396.00,,,,,,,,,,
2020,2019–20 Australian bushfire season (Black Summer),South Australia,490000.00,1210000.00,3.00,151.00,,,,,,,,,,
2020,2019–20 Australian bushfire season (Black Summer),Australian Capital Territory,86464.00,213660.00,0.00,0.00,,,,,,,,,,
2020,2019–20 Australian bushfire season (Black Summer),Tasmania,36000.00,89000.00,0.00,2.00,,,,,,,,,,
